Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,WCA Round code,WCA Round,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","2","Afghanistan","6203","Year","27000","Census Year","2000","2000","","2002.00","","Official data",""
"WCAD","Structural data from agricultural censuses","2","Afghanistan","60850","Number","27002","Holdings","2000","2000","No","3044670.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6203","Year","27000","Census Year","1990","1990","","1995.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6203","Year","27000","Census Year","2000","2000","","1998.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6203","Year","27000","Census Year","2010","2010","","2012.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","27002","Holdings","1990","1990","No","444300.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","27002","Holdings","2000","2000","ha","1889498.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","5017","Average area","27002","Holdings","2000","2000","ha","4.05","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","27002","Holdings","2000","2000","No","466809.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","27002","Holdings","2010","2010","ha","371609.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","5017","Average area","27002","Holdings","2010","2010","ha","1.16","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","27002","Holdings","2010","2010","No","321492.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270030","Holdings with land size 0-<1","1990","1990","No","274000.00","","Official data","Land under crops"
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270030","Holdings with land size 0-<1","2000","2000","ha","128508.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270030","Holdings with land size 0-<1","2000","2000","No","279793.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270030","Holdings with land size 0-<1","2010","2010","ha","99758.00","","Official data","Interpolated data"
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270030","Holdings with land size 0-<1","2010","2010","No","215033.00","","Official data","Interpolated data"
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270031","Holdings with land size 1-<2","1990","1990","No","170300.00","","Official data","Land under crops"
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270031","Holdings with land size 1-<2","2000","2000","ha","198921.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270031","Holdings with land size 1-<2","2000","2000","No","140377.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270031","Holdings with land size 1-<2","2010","2010","ha","109987.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270031","Holdings with land size 1-<2","2010","2010","No","76550.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270032","Holdings with land size 2-<3","2010","2010","ha","48544.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270032","Holdings with land size 2-<3","2010","2010","No","20073.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270033","Holdings with land size 2-<5","2000","2000","ha","1562069.00","","Official data",">=2 ha"
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270033","Holdings with land size 2-<5","2000","2000","No","46639.00","","Official data",">=2 ha"
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270034","Holdings with land size 3-<4","2010","2010","ha","11989.00","","Official data","Interpolated data"
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270034","Holdings with land size 3-<4","2010","2010","No","3150.00","","Official data","Interpolated data"
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270035","Holdings with land size 4-<5","2010","2010","ha","11989.00","","Official data","Interpolated data"
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270035","Holdings with land size 4-<5","2010","2010","No","3150.00","","Official data","Interpolated data"
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270036","Holdings with land size 5-<10","2010","2010","ha","11573.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270036","Holdings with land size 5-<10","2010","2010","No","1665.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270037","Holdings with land size 10-<20","2010","2010","ha","77769.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270037","Holdings with land size 10-<20","2010","2010","No","1871.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270052","Holdings operated by civil persons, male","2010","2010","No","292990.00","","Official data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","3","Albania","6202","Percent of total persons","270052","Holdings operated by civil persons, male","2010","2010","%","91.10","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270051","Holdings operated by civil persons, female","2010","2010","No","28502.00","","Official data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","3","Albania","6202","Percent of total persons","270051","Holdings operated by civil persons, female","2010","2010","%","8.90","Fc","Calculated data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270050","Holdings operated by civil persons, total","2010","2010","No","321492.00","","Official data","Eurostat reports gender breakdown only for managers, which include both holders (civil persons) that manage the holding themselves and managers that are not holders, including of legal units."
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270060","Holdings owned by the holder or in owner-like possession","2010","2010","ha","304638.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6200","Percentage of total area","270060","Holdings owned by the holder or in owner-like possession","2010","2010","%","82.00","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270060","Holdings owned by the holder or in owner-like possession","2010","2010","No","320021.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6201","Percent of total number","270060","Holdings owned by the holder or in owner-like possession","2010","2010","%","99.50","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270061","Holdings rented from others","2010","2010","ha","59539.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6200","Percentage of total area","270061","Holdings rented from others","2010","2010","%","16.00","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270061","Holdings rented from others","2010","2010","No","18171.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6201","Percent of total number","270061","Holdings rented from others","2010","2010","%","5.70","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270062","Holdings operated under other forms of tenure","2010","2010","ha","7432.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6200","Percentage of total area","270062","Holdings operated under other forms of tenure","2010","2010","%","2.00","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270062","Holdings operated under other forms of tenure","2010","2010","No","15457.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6201","Percent of total number","270062","Holdings operated under other forms of tenure","2010","2010","%","4.80","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270070","Civil persons","2000","2000","ha","451984.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6200","Percentage of total area","270070","Civil persons","2000","2000","%","23.92","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270070","Civil persons","2000","2000","No","466716.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6201","Percent of total number","270070","Civil persons","2000","2000","%","99.98","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","50260","Area","270071","Juridical","2000","2000","ha","1437514.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6200","Percentage of total area","270071","Juridical","2000","2000","%","76.08","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60850","Number","270071","Juridical","2000","2000","No","93.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","6201","Percent of total number","270071","Juridical","2000","2000","%","0.02","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60851","Number","270080","Household members, total","1990","1990","persons","2433700.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","5019","Average persons per holding","270080","Household members, total","1990","1990","persons","5.50","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60851","Number","270092","Household members, engaged in agriculture, male","2010","2010","persons","374955.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60851","Number","270091","Household members, engaged in agriculture, female","2010","2010","persons","309958.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60851","Number","270090","Household members, engaged in agriculture, total","2010","2010","persons","684913.00","","Official data",""
"WCAD","Structural data from agricultural censuses","3","Albania","60851","Number","27010","Hired permanent workers","2010","2010","persons","98264.00","","Official data",""
